date,RELIANCE,TCS,HDFCBANK,INFY,ICICIBANK,WIPRO,SBIN,BAJFINANCE
2017-12-31,100,22,5,1,4,59,10,0
2018-01-07,92,32,5,3,4,67,11,0
2018-01-14,87,41,5,2,4,71,12,0
2018-01-21,89,37,4,2,3,62,11,0
2018-01-28,83,37,5,2,5,67,12,0
2018-02-04,79,30,5,1,5,64,14,1
2018-02-11,70,25,4,1,4,65,13,0
2018-02-18,67,27,4,1,4,70,13,0
2018-02-25,82,23,5,1,4,59,11,0
2018-03-04,73,25,6,1,5,57,13,0
2018-03-11,75,29,6,1,5,61,13,0
2018-03-18,73,24,6,1,4,60,15,0
2018-03-25,69,21,6,1,5,57,16,0
2018-04-01,69,22,7,1,6,59,12,0
2018-04-08,69,24,6,3,5,58,11,0
2018-04-15,66,45,6,2,4,59,12,0
2018-04-22,70,42,6,2,4,66,12,0
2018-04-29,65,23,6,1,4,52,10,0
2018-05-06,65,23,5,1,4,51,10,0
2018-05-13,65,24,5,1,4,54,10,1
2018-05-20,62,27,4,1,4,56,17,1
2018-05-27,67,30,5,1,4,53,13,1
2018-06-03,69,26,5,1,4,55,11,1
2018-06-10,73,32,5,1,4,52,15,1
2018-06-17,65,35,5,1,4,58,10,1
2018-06-24,62,33,5,1,5,66,11,1
2018-07-01,72,38,6,2,5,67,10,1
2018-07-08,73,54,5,3,4,66,11,1
2018-07-15,68,38,5,2,4,69,11,1
2018-07-22,69,30,5,1,4,73,13,1
2018-07-29,74,33,6,1,5,62,16,1
2018-08-05,69,36,5,1,4,49,18,1
2018-08-12,76,41,4,1,4,53,14,1
2018-08-19,66,47,4,2,4,57,12,1
2018-08-26,72,43,5,2,4,68,13,1
2018-09-02,72,39,5,3,4,100,11,1
2018-09-09,65,28,4,2,3,63,9,1
2018-09-16,60,27,3,1,3,63,9,1
2018-09-23,59,30,4,2,3,57,10,1
2018-09-30,58,30,4,1,4,57,9,1
2018-10-07,64,36,4,2,3,59,11,1
2018-10-14,68,26,3,3,3,46,9,1
2018-10-21,62,28,4,2,3,76,11,1
2018-10-28,72,27,4,2,4,86,14,1
2018-11-04,64,21,4,1,3,61,12,0
2018-11-11,61,27,4,2,3,77,12,1
2018-11-18,60,24,4,2,3,58,10,0
2018-11-25,63,31,5,2,3,62,11,0
2018-12-02,65,30,6,1,3,66,11,0
2018-12-09,60,30,4,2,3,54,13,0
2018-12-16,61,30,4,2,3,54,13,1
2018-12-23,56,25,4,2,3,43,10,0
2018-12-30,57,31,5,2,4,47,12,0
2019-01-06,49,33,4,3,3,44,10,0
2019-01-13,54,29,3,3,3,63,10,1
2019-01-20,61,28,4,2,3,65,9,0
2019-01-27,55,27,5,2,3,56,13,1
2019-02-03,72,26,4,2,3,53,12,0
2019-02-10,58,24,3,1,3,41,12,0
2019-02-17,62,25,3,1,3,44,13,0
2019-02-24,57,25,4,1,3,45,11,0
2019-03-03,56,23,4,1,3,67,9,0
2019-03-10,58,23,4,2,3,59,12,0
2019-03-17,55,22,3,2,2,47,11,0
2019-03-24,57,25,4,1,3,40,14,0
2019-03-31,61,26,4,1,4,44,16,0
2019-04-07,55,31,4,2,3,54,12,0
2019-04-14,53,28,3,2,3,71,9,0
2019-04-21,60,24,3,2,3,63,10,0
2019-04-28,52,21,4,1,3,45,7,0
2019-05-05,65,24,4,1,3,49,11,0
2019-05-12,58,26,4,1,3,48,13,1
2019-05-19,68,26,4,2,2,53,19,1
2019-05-26,59,29,5,2,3,61,16,0
2019-06-02,58,31,5,1,3,64,11,0
2019-06-09,61,42,4,2,3,65,12,0
2019-06-16,55,35,4,1,3,61,10,0
2019-06-23,55,40,4,1,3,50,12,0
2019-06-30,54,39,5,1,3,55,12,1
2019-07-07,54,50,4,2,3,58,13,1
2019-07-14,59,37,4,3,3,73,12,1
2019-07-21,55,41,4,2,3,60,11,1
2019-07-28,57,56,5,1,4,65,13,1
2019-08-04,61,39,5,1,3,58,15,0
2019-08-11,100,32,4,1,3,51,9,0
2019-08-18,64,39,5,1,3,61,13,1
2019-08-25,62,40,5,2,4,64,15,1
2019-09-01,67,29,5,1,3,64,12,0
2019-09-08,60,32,4,1,3,77,9,0
2019-09-15,61,38,5,1,3,83,12,1
2019-09-22,69,42,5,2,4,74,16,1
2019-09-29,65,28,6,1,4,66,15,0
2019-10-06,63,33,5,2,3,58,13,0
2019-10-13,69,31,5,3,3,100,13,1
2019-10-20,75,27,5,13,3,57,14,1
2019-10-27,69,26,6,5,3,53,17,0
2019-11-03,60,27,6,5,4,61,14,1
2019-11-10,56,26,5,3,3,46,13,0
2019-11-17,66,27,5,3,3,52,14,0
2019-11-24,66,30,6,2,4,52,14,0
2019-12-01,64,31,9,2,5,54,12,1
2019-12-08,58,29,6,2,4,55,14,1
2019-12-15,57,31,6,2,4,45,14,0
2019-12-22,59,24,5,1,3,34,10,1
2019-12-29,64,26,6,2,4,38,11,1
2020-01-05,38,19,4,2,2,37,10,1
2020-01-12,43,22,4,2,2,48,8,0
2020-01-19,44,19,4,1,2,40,9,1
2020-01-26,44,19,4,1,3,44,10,1
2020-02-02,38,22,4,1,2,40,12,1
2020-02-09,34,19,4,1,2,38,10,1
2020-02-16,33,18,3,1,2,34,9,1
2020-02-23,38,19,4,1,2,40,11,1
2020-03-01,38,20,5,1,3,38,16,1
2020-03-08,58,24,4,2,2,35,17,1
2020-03-15,61,28,4,2,2,39,18,1
2020-03-22,72,20,3,2,2,48,17,2
2020-03-29,53,19,5,2,4,58,13,3
2020-04-05,47,26,4,1,3,30,12,1
2020-04-12,45,31,4,1,3,50,13,2
2020-04-19,68,24,4,2,2,34,13,3
2020-04-26,68,25,4,2,2,34,12,2
2020-05-03,65,23,4,1,3,34,18,3
2020-05-10,66,24,4,2,3,33,18,2
2020-05-17,72,19,4,1,3,31,18,3
2020-05-24,61,17,4,1,3,39,13,2
2020-05-31,65,19,5,1,3,43,20,3
2020-06-07,62,20,4,1,2,35,19,2
2020-06-14,69,17,4,1,2,31,15,2
2020-06-21,70,19,4,1,2,38,14,2
2020-06-28,68,18,4,1,3,35,12,2
2020-07-05,72,24,3,1,3,33,14,2
2020-07-12,100,24,4,4,2,71,13,2
2020-07-19,90,21,4,3,3,56,13,2
2020-07-26,91,21,4,2,3,50,12,1
2020-08-02,83,20,4,1,3,42,12,1
2020-08-09,87,18,3,1,2,40,13,1
2020-08-16,77,18,3,1,2,45,12,1
2020-08-23,67,17,4,1,3,41,14,1
2020-08-30,68,20,4,1,3,40,13,1
2020-09-06,70,21,4,1,2,46,12,1
2020-09-13,61,23,3,2,2,56,11,1
2020-09-20,57,25,3,1,2,47,12,1
2020-09-27,52,36,4,1,2,39,9,1
2020-10-04,51,51,3,2,2,68,9,1
2020-10-11,49,38,3,3,3,100,10,1
2020-10-18,55,32,3,1,2,53,9,1
2020-10-25,63,27,3,1,2,52,9,1
2020-11-01,81,25,3,1,3,50,13,1
2020-11-08,72,29,3,2,2,54,14,1
2020-11-15,66,23,3,1,2,57,14,1
2020-11-22,61,24,3,1,2,62,11,1
2020-11-29,49,23,4,1,3,55,9,1
2020-12-06,59,26,3,1,3,77,11,1
2020-12-13,55,27,3,2,2,63,9,1
2020-12-20,55,24,3,2,2,68,8,1
2020-12-27,54,25,4,1,3,60,9,1
2021-01-03,64,39,4,2,3,60,6,1
2021-01-10,64,37,4,4,3,85,8,1
